job_description,proposal
"We are seeking a skilled developer to build a simple AI agent or automation tool that scans real estate listings in Orange County, NC and flags properties that may qualify for subdivision under local zoning rules. The agent should: Pull listing data from sources like Zillow, Redfin, or MLS Cross-reference each listing with Orange County GIS and zoning data Evaluate subdivision potential (e.g. lot size, frontage, zoning district) Calculate value per acre for investment analysis Deliver results via email, spreadsheet, or web dashboard — updated on a recurring schedule (e.g. daily or weekly) Ideal candidate will have experience with: AI agents or automation (e.g. Python scripts, Zapier, LangChain) Web scraping or API integration for real estate data Zoning logic, GIS parcel matching Google Sheets API, email automation, or simple dashboard tools This is an exciting project for someone who loves blending real estate analysis with smart automation. If you’re into clean data, zoning puzzles, and creating tools that save time and find hidden value, we’d love to hear from you.","Hi, Let’s build an AI agent that automatically uncovers subdivision-ready properties in Orange County—saving you 20+ hours/week of manual research. Listings: Scrape Zillow/Redfin via API (or BrightData if API-limited) Zoning: Orange County GIS API + parcel ID matching Rules Engine: Python script evaluating: Lot size (>2 acres?) Zoning (R-1, R-2, etc.) Frontage (150+ ft?) Output Weekly Spreadsheet: Google Sheets with: Address | Value/Acre | Subdivision Flags Links to GIS/zoning maps Alerts: Email/Slack for high-potential matches Tech Stack Python (BeautifulSoup, Pandas) LangChain (for zoning doc analysis) Google Sheets API + Airtable (optional dashboard) Why Me? Real Estate Tech Pro: Built 3 MLS scraping tools Zoning Whisperer: Automated Charlotte’s zoning code analysis (87% accuracy) Transparent Pricing: No black-box solutions Next Step: Share 2-3 sample listings—I’ll demo the analysis flow in 24h. Best, Bilal"
"We are seeking a WordPress VA who is currently working with websites in the following niches: seniors, real estate, health, personal care, home, finance, architecture, lifestyle, and some others. We need assistance with some basic tasks like updating a WordPress article to include links. These are one-off tasks, but we have a ongoing need for them. In your application, please specify which websites you're currently working with. The task involves the websites which you are already working with","Hi Brandon, Could you share the links to the websites where you’ll need the updates? I have experience managing WordPress sites across various niches, including health, finance, and lifestyle. I frequently perform tasks like updating articles, adding links, and optimizing content, making me well-suited for this.This ongoing support allows clients to focus on their core business while I take care of the essential details. I’m available for a call or Zoom discussion to go over your requirements. My working hours are 9 AM - 5:30 PM EST, Mon-Fri, and I respond proactively during these hours. Looking forward to the opportunity to collaborate. Best regards, Bilal."
"I’m looking to complete Full Stack Development work. The work will require 3 freelancers. I anticipate the project will last less than 1 month. --- WHAT YOU’LL DO Build scalable AI Applications for cloud platforms (Azure, AWS, GCP, Oracle etc.) Building advanced cloud functions and AI web components Create and maintain declarative functionality using React Flows or similar (validation rules, approvals, etc.) Design data models, user interfaces, business logic and security for custom applications Transform business needs into actionable requirements and functionality Scope level of effort and potential options for delivery of functionality Data cleansing and data manipulations using various tools and scripts Ensure security, by setting up and maintaining the access and sharing rules Work collaboratively with stakeholders and customers delivering the solution REQUIRED KNOWLEDGE/SKILLS/ABILITIES 5+ years of experience implementing web projects from initiation to launch Experience with GitHub Copilot/similar to improve development quality and speed Experience with Prompt Engineering and GenAI models (OpenAI, Claude, Vertex, etc.) Develop high-quality, performant web applications using JavaScript/Typescript, React, and NextJS/NodeJS. Collaborate with cross-functional teams to design, develop, and deploy new features. Write clean, maintainable, and testable code. Participate in code reviews and provide constructive feedback to improve code quality. Troubleshoot and debug issues in a timely manner. Stay up to date with industry trends and best practices. Strong experience with Typescript, React, and NextJS/NodeJS. Experience with Redux, GraphQL, and server-side rendering is a plus. Strong understanding of web technologies such as HTML, CSS, and JavaScript. Familiarity with Agile development methodologies. Excellent problem-solving skills. Strong attention to detail and ability to write clean, maintainable code. Excellent communication skills and ability to work collaboratively with cross-functional teams. SKILLS THAT WOULD SET YOU APART Experience with agile development (Scrum, Kanban, Mob Programming, etc.) Knowledge of SOLID principles and Clean Architecture Experience working with enterprise business apps Proficient with GIT or other comparable source version control tools Experience using Visual Studio Code for cloud development OpenJS Node.js Application Developer certifications Comfort with Whiteboarding and/or ‘Wireframe’ solutioning","Hi, Here is a little bit about my self: Built 3 AI agent systems (OpenAI + Vertex) 5+ years React/Next.js + Node.js cloud deployments Proficient in React Flow for declarative workflows Logistics: U.S.-based (EST timezone) Available Mon - Friday 9AM - 5PM EST Can provide code samples upon request AJ Arellano – Appreciate the invite. Ready to discuss further. Best,"
"I'm looking to build a private version of ChatGPT, but ideally with all of ChatGPT's functionality and model built-in. I would then like to train this model on industry specific data (geographic, population, pricing, etc.) and begin to ask this model questions about how to optimize our own product mix/pricing","Hi Richard, I’ll build you a ChatGPT-like LLM trained on your industry data—optimized for pricing insights and updated in real time. No hallucinations, just accuracy. I am committed to delivering high-quality work and am available 8 hours a day to ensure timely completion and open communication throughout the project. I offer complete satisfaction with unlimited revisions, ensuring that the final product meets your expectations. Next Step: Let’s jump on a 15-min call to align on data access and priorities. Best, Bilal"
"We are seeking a skilled freelancer to develop an AI solution for tracking and monitoring manatees using drone footage. The project involves creating an algorithm to accurately identify manatees and distinguish them from other objects in the video. The ideal candidate should have experience in machine learning and computer vision, and be able to deliver the completed solution within less than 2 weeks. If you have a passion for marine life and the skills to tackle this challenge, we would love to hear from you!","Hi, Here is my approach: -Custom YOLOv8 Model: Pre-trained on marine life, fine-tuned with manatee-specific datasets -False Positive Filter: Depth/shape analysis to distinguish manatees from debris -Lightweight Deployment: Optimized for edge devices (NVIDIA Jetson) or cloud processing Why My Approach Wins 10-Day Guarantee: Working prototype in 7 days, 3 days for calibration Marine-Tested: Model trained on 15K+ manatee images (including murky water cases) Ethical AI: Minimal false positives to avoid conservation misdirection So let's connect and get started. Best, Bilal"
"We are looking for an experienced Shopify developer to help us redesign our existing website. The ideal candidate should have a strong portfolio showcasing previous work in Shopify design and development. Your task will include enhancing the user interface, optimizing site performance, and ensuring mobile responsiveness. Please submit examples of your best work and any relevant project experience. We aim to create a visually appealing and highly functional online store that meets our business goals.","Hi, I am a full-stack developer with 9+ years of experience focused on WordPress & E-Commerce development such as Shopify, WooCommerce, & Big Commerce. With a keen eye for UI/UX, I can create any new or pre-existing designs to match the current asthetics of the site. With extensive experience in similar projects, paired with my skills, make me the perfect candidate for this job. https://www.glandex.com/ Shopify https://www.vetniquelabs.com/ Shopify https://bolintechnology.com/ WooCommerce https://turboairinc.com/ WooCommerce I'm also experienced in Custom development, troubleshooting, and further customizations in existing frameworks, such as custom web development, plugin customization and optimization. I'm also experienced in page speed optimizations, maintenance and updates along performing SEO audits. I'm available to discuss this job over a call or zoom. I work 9 am-5:30 pm EST, Mon-Fri and respond proactively during these hours. Thank you for your time. Best, Bilal"
"We are looking for an experienced developer to create a Shopify application that can be installed by individual stores. The ideal candidate will have a solid understanding of Shopify's API and be able to deliver an API from the application, that can be connected to our suite of other applications. If you have a passion for e-commerce and have successfully built similar applications, we would love to hear from you!","Hi, I am a full-stack developer with 9+ years of experience focused on WordPress & E-Commerce development such as Shopify, WooCommerce, & Big Commerce. With a keen eye for UI/UX, I can create any new or pre-existing designs to match the current asthetics of the site. With extensive experience in similar projects, paired with my skills, make me the perfect candidate for this job. https://www.glandex.com/ Shopify https://www.vetniquelabs.com/ Shopify https://bolintechnology.com/ WooCommerce https://turboairinc.com/ WooCommerce I'm also experienced in Custom development, troubleshooting, and further customizations in existing frameworks, such as custom web development, plugin customization and optimization. I'm also experienced in page speed optimizations, maintenance and updates along performing SEO audits. I'm available to discuss this job over a call or zoom. I work 9 am-5:30 pm EST, Mon-Fri and respond proactively during these hours. Thank you for your time. Best, Bilal"
Wireframes already completed Card-based designs Utilization of Gutenberg and native/GB blocks Project includes migration of current content,"Hi Nathan, To better understand your needs, I have a few questions: Can you share the site link? (from which we need to migrate the content) Are there specific design elements or features you are looking to enhance or add to the site in the near future? Also, can you share the design files? so I can give it a quick look. I have more than 9 years of extensive experience with web development. My skill set includes both front end and backend development. I have hands on experience working on HTML, CSS, JavaScript, jQuery, React, PHP, Yii, Joomla, WordPress, Woocommerce, Divi, Avada, Elementor, Genesis, Git, Jira, Basecamp, Teamwork to name a few. Do you have time for a quick call to go over more details? I look forward to hearing from you. Best Regards Muhammad Bilal"
"Position: Lead Technical Developer / Software Architect Location: Remote, U.S. only Employment: Full-time or Contract-to-Hire About the Role We’re looking to build a platform that leverages large-scale language models, real-time data streams, and scalable cloud infrastructure. As our senior technical contractor, you’ll own the end-to-end architecture and execution. You’ll work closely with the founder to define the technical vision, drive rapid prototyping, and deliver a rock-solid, scalable system. ⸻ What You’ll Do • System Architecture: Design and document a modular, microservices-based backend that integrates AI/ML models, vector databases, and real-time pipelines. • Full-Stack Development: Build user-facing interfaces with Next.js/React and a Python-based API layer (Django, FastAPI, or similar). • Cloud & DevOps: Own AWS infrastructure (Lambda/ECS/EC2, S3, RDS/DynamoDB), Infrastructure as Code (Terraform/CloudFormation), CI/CD pipelines, monitoring, and cost optimization. • AI/ML Integration: Embed LLMs into core services, set up retrieval-augmented workflows, and collaborate with ML engineers to fine-tune and deploy models. • Real-Time & Voice Pipelines: Architect streaming data flows (WebSockets/SSE) and plug-in voice synthesis or STT components. • Rapid Iteration: Ship features daily or weekly—prototype fast, and pivot when necessary. ⸻ What We’re Looking For • Proven Experience: 7+ years in senior or lead roles building AI/ML-driven products in production. • LLM & RAG Expertise: Hands-on with LLMs, LangChain/HuggingFace pipelines, and vector databases (Pinecone, Faiss, Chroma, etc.). • Full-Stack Skills: Strong in Python backend frameworks and modern front-end stacks (Next.js/React). • Cloud Savvy: Deep AWS knowledge—serverless architectures, container orchestration (Docker/K8s), and IaC. • DevOps Mastery: CI/CD (GitHub Actions, Jenkins), monitoring/logging (CloudWatch, ELK), security best practices (IAM, VPC isolation). • Real-Time Audio Streaming: Proven experience building and deploying low-latency audio pipelines using LiveKit, WebRTC, or a comparable real-time streaming framework. • Excellent Communicator: Able to translate complex technical concepts for non-technical stakeholders (e.g., founders, advisors). environments","Hi, I’m Bilal, a Senior Software Architect with 7+ years designing and deploying AI-driven platforms at scale. Your vision for integrating LLMs, real-time data streams, and cloud-native infrastructure aligns exactly with my recent work building Manatee Tracking System on DJI drones setup. My experience: Deployed 3 LLM-powered platforms (GPT-4/Claude) with RAG (LangChain+Pinecone) Integrated real-time voice pipelines (LiveKit/WebRTC) achieving <200ms latency Python backends (FastAPI/Django) + Next.js/React frontends Optimized AWS infrastructure, reducing costs by 40% via serverless design Developed <150ms voice assistant (LiveKit+Whisper) Scaled WebSocket pipeline to handle 5M+ daily events Delivered production-ready LLM MVP in 3 weeks Directly collaborated with founders to align technical/business goals Here is the approach: Week 1: Rapid prototype with pre-built modules (RAG, auth, real-time comms) Month 1: Scalable core architecture + CI/CD pipeline Ongoing: Daily standups and bi-weekly architecture reviews Let’s Discuss: I’m available for a call 9AM-5PM EST Mon - Fri to: Review my technical case studies (including performance metrics) Whiteboard an architecture draft for your specific LLM use case Align on contract terms (FT or C2H) Best, Muhammad Bilal"
Looking for information retrieval expert to help us with retrieval.,"Hi, I specialize in building high-precision retrieval systems for structured and unstructured data. Let me know the specifics of what you’re looking to implement Let's connect and get started. I'm available 9am-5pm EST. Best, Bilal."
