"air3-link","air3-link href","highlight","highlight 2","air3-badge-tagline","sr-only 3","air3-rating-value-text","air3-popper-content","air3-badge-tagline 2","air3-badge-tagline 4","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","pr-6","air3-token 6"
"Dev & AI Specialist","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-Dev-amp-Specialist_~021915436127360665965/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 5.0 out of 5.","5.0","4.99 Stars, based on 1,890 feedbacks","$40K+","United Kingdom","Fixed price","Intermediate","Est. budget:","$20.00","We need a Professional -  & AI Specialist who builds blazing-fast, intelligent, and scalable applications.","Full","Stack","Developer","AI Agent Development","Python","React","Node.js","PyTorch","TensorFlow","5 to 10",""
"Node.js  Needed for Web Application","https://www.upwork.com/jobs/Node-span-class-highlight-Developer-span-Needed-for-Web-Application-span-class-highlight-Development-span_~021915441621773032393/?referrer_url_path=/nx/search/jobs/","Developer","Development","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Hourly: $8.00 - $10.00","Intermediate","Est. time:","1 to 3 months, Not sure","We are seeking an experienced Node.js  to join our team for an exciting web application project. The ideal candidate will have a strong background in building scalable applications and working with databases. You will be responsible for creating APIs, integrating third-party services, and ensuring optimal performance. If you are passionate about coding and have a proven track record in Node.js, we would love to hear from you!","developer","","","","Node.js","JavaScript","API","ExpressJS","","Less than 5",""
"Landing Page Expert ( ) for Quick Project — Potential Long-Term Work","https://www.upwork.com/jobs/Landing-Page-Expert-span-class-highlight-Full-span-span-class-highlight-Stack-span-for-Quick-Project-Potential-Long-Term-Work_~021915441613839804005/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Albania","Fixed price","Expert","Est. budget:","$10.00","Looking for a    to quickly build a responsive landing page based on a provide design.
It should take a few hours for an expert.
If you deliver high-quality work, there's potential for long term collaboration on future projects. 
I will provide other logo on chat.","full","stack","developer","","Landing Page","HTML","CSS","JavaScript","","Less than 5",""
"Laravel  Needed for Dashboard","https://www.upwork.com/jobs/Laravel-span-class-highlight-Developer-span-Needed-for-Dashboard-span-class-highlight-Development-span_~021915435926155158028/?referrer_url_path=/nx/search/jobs/","Developer","Development","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$1K+","Malaysia","Fixed price","Intermediate","Est. budget:","$100.00","We are looking for a skilled Laravel  to create a dashboard utilizing an existing web application template. The project involves integrating various functionalities and ensuring a seamless user experience. Familiarity with Laravel's ecosystem is crucial, as well as an eye for design to enhance the template's aesthetic appeal. If you have a solid understanding of web applications and possess the ability to work independently and efficiently, we would love to hear from you!","developer","","","Web Development","Web Design","Mockup","PHP","Laravel","JavaScript","10 to 15","API"
"Fullstack  (Next.js + API) for Shopify & Meta Ads SaaS Tool","https://www.upwork.com/jobs/Fullstack-span-class-highlight-Developer-span-Next-API-for-Shopify-amp-Meta-Ads-SaaS-Tool_~021915440905608251757/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 9 feedbacks","$1K+","Netherlands","Hourly: $3.00 - $4.50","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","About the Role

We’re building a new SaaS platform that connects directly with Shopify and Facebook Ads (Meta Ads) via API. The backend logic is already in place through a powerful automation engine (n8n). Now we’re looking for a skilled fullstack  to build the entire user-facing platform: from onboarding to real-time product launches.

You’ll help us connect the dots between input, automation, and result — in a clean, fast and secure way.

⸻

What You’ll Build
	•	Frontend: Next.js app with secure login, usage tracking, and user dashboard
	•	Backend: API endpoints that:
	•	Trigger n8n workflows
	•	Handle Shopify product publishing (via Admin API)
	•	Handle Facebook Ad publishing (via Meta Ads API)
	•	Return responses & status info to users
	•	Dashboard: Credits left, campaign history, product status, etc.
	•	Authentication: JWT-based auth or OAuth2 depending on integration
	•	Error logging & retry flows (important for automation reliability)

⸻

Core Skills Required
	•	Strong proficiency in Next.js / React
	•	Fluent in Node.js / TypeScript
	•	Experience with Shopify Admin API:
	•	Create/update products
	•	Webhooks
	•	Store permissions
	•	Experience with Meta Ads (Facebook Marketing API):
	•	Creating campaigns/adsets/ads via API
	•	OAuth token management
	•	Audience setup (if needed)
	•	REST API design (for secure communication with n8n)
	•	Solid grasp of auth flows (OAuth2, token refresh, JWT)
	•	Frontend UX mindset (clean, functional dashboards)

⸻

Bonus Skills
	•	Worked on a SaaS product with usage-based pricing (credits, quotas)
	•	Familiarity with Stripe for subscriptions & metered billing
	•	Built admin dashboards or reporting systems
	•	Knowledge of webhook handling and queue systems
	•	Light experience with automation tools (n8n, Zapier, Make)

⸻

How We Work
	•	Remote & async-first (Slack + GitHub + Notion)
	•	Agile sprints, clear goals
	•	Long-term mindset: scalable code, structured dev
	•	You’ll collaborate directly with the founder & automation engineer

⸻

What We Offer
	•	Autonomy + creative input
	•	Exciting early-stage momentum
	•	Option for long-term role or technical leadership
	•	Transparent scope + compensation

⸻

To Apply, Please Include:
	•	Your best 2-3 SaaS projects
	•	GitHub or portfolio
	•	Your availability + hourly/fixed rate
	•	Answer this:
Have you ever built or connected to Shopify or Meta Ads via API? What was the most challenging part?","developer","","","","Next.js","TypeScript","SaaS","Node.js","NodeJS Framework","Less than 5","REST API"
"Automation  for WHMCS to ClickUp Integration","https://www.upwork.com/jobs/Automation-span-class-highlight-Development-span-for-WHMCS-ClickUp-Integration_~021915438132936582757/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 4.6 out of 5.","4.6","4.64 Stars, based on 73 feedbacks","$200K+","United Kingdom","Fixed price","Intermediate","Est. budget:","$50.00","We are looking for a skilled  to create an automation that integrates WHMCS with ClickUp. The automation should facilitate seamless data transfer between both platforms to streamline our processes and improve efficiency. The ideal candidate will have experience with API integrations and automation tools. If you have a strong understanding of WHMCS and ClickUp, along with a proven track record in similar projects, we want to hear from you!

We have a Zapier account.

**Relevant Skills:**
- API Integration
- WHMCS
- ClickUp
- Automation Tools
- Software","developer","Development","","WHMCS Development","API","API Integration","Zapier","","","Less than 5",""
"Needed for AI-Powered Predictive Analytics Software","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-for-Powered-Predictive-Analytics-Software_~021915420695471868269/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$1K+","India","Fixed price","Intermediate","Est. budget:","$100.00","IMMEDIATE REQUIREMENT: We are seeking a skilled    with expertise in ReactJS and Python to create an AI-driven predictive analytics and risk analysis software. The ideal candidate will possess strong programming skills and a solid understanding of AI algorithms. Your role will involve collaborating with our team to translate requirements into a functional product, ensuring high-quality code and efficient implementation. Please refer to the attached file for more details on the project scope.","full","stack","developer","","React","Python","","","","",""
"Laravel  Needed for Checkout Bug Fix","https://www.upwork.com/jobs/Laravel-span-class-highlight-Developer-span-Needed-for-Checkout-Bug-Fix_~021915436097265984012/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 5.0 out of 5.","5.0","4.97 Stars, based on 664 feedbacks","$10K+","United States","Fixed price","Entry Level","Est. budget:","$5.00","I’m looking for a skilled Laravel  to help fix a bug in my web app's checkout flow.

Bug Details:

Issue: When a user enters their billing details and clicks ""Proceed to Pay,"" the form submits but the page doesn't redirect or show any error.

Expected Behavior: After clicking the button, the app should validate the form and redirect the user to the payment confirmation page.

Actual Behavior: The form appears to be stuck – no redirection, no error messages, and the loader keeps spinning.

Console Error: None visible, but the Network tab shows a 302 redirect followed by a blank response.

Environment: Laravel 9, MySQL, jQuery frontend","developer","","","Web Development","MySQL","HTML","Laravel","API","jQuery","5 to 10","PHP"
"WordPress API Expert Needed to  User Role Adjustment Tool","https://www.upwork.com/jobs/WordPress-API-Expert-Needed-span-class-highlight-Develop-span-User-Role-Adjustment-Tool_~021915431341020342283/?referrer_url_path=/nx/search/jobs/","Develop","","Payment verified","Rating is 3.6 out of 5.","3.6","3.56 Stars, based on 30 feedbacks","$5K+","Netherlands","Hourly: $25.00 - $47.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are looking for a skilled WordPress API expert to create a custom tool that allows for the adjustment of user roles within our WordPress site. The ideal candidate will have extensive experience with the WordPress API and a deep understanding of user role management. This tool will enable us to easily modify permissions and access levels for different users, enhancing our site’s functionality. If you have a proven track record in similar projects, we would love to hear from you!","","","","","PHP","JavaScript","WordPress","API","CSS","15 to 20",""
"MERN  / Intern","https://www.upwork.com/jobs/MERN-span-class-highlight-stack-span-span-class-highlight-Developer-span-Intern_~021915409826939640777/?referrer_url_path=/nx/search/jobs/","stack","Developer","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Pakistan","Fixed price","Entry Level","Est. budget:","$10.00","I need MERN   entry level but must be able to work on MERN related projects seamlessly.
You should be self and quick learner. 
You should be able to work on existing developed projects.

You know how to integrate payments gateway to websites.

Could lead to  time depending upon performance and mutual understanding. 

If you are willing for internships apply as well. 

Explain how would you approach the project if given to you. 

Write 25 in the cover letter mean you read the requirements. 

Apply if relevant and willing to learn 
Thanks","stack","developer","full","API Development","Node.js","JavaScript","API","API Integration","Web Application","10 to 15","Database Architecture"
